NPC Count,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6
1,452,8559519,406,6661529,390,3869174,340,2803958,339,7490294,292,3158423
200,214,2680609,201,7464118,205,7464108,182,8037784,168,9682522,139,2647441
400,144,7316105,120,8674373,122,9296126,107,8516869,107,0927811,88,16727229
600,93,56300425,86,82116151,74,4463904,84,25640437,76,94367001,59,2932066
800,73,82931704,49,7129947,37,11268306,42,74840737,35,64927881,34,90350258
1000,37,96236092,35,64615852,27,79746266,35,48219667,27,12424376,24,44466856
