Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
102;24323;1.7721;231.3999979496
103;24324;2.5847;233.172097921371
104;24325;2.5572;235.756798028946
105;24326;1.9905;238.313997983932
106;24327;2.0432;240.30449795723
107;24328;2.0347;242.347697973251
108;24329;1.8506;244.382397890091
109;24330;1.6998;246.232997894287
110;24331;1.6293;247.932797908783
111;24332;1.9717;249.562097907066
112;24333;1.9401;251.533797860146
113;24334;2.0551;253.473897814751
114;24335;1.7655;255.528997778893
115;24336;2.3339;257.294497728348
116;24337;1.8808;259.628397703171
117;24338;1.8021;261.509197711945
118;24339;1.9059;263.311297655106
119;24340;2.1041;265.217197656631
120;24341;2.2799;267.321297645569
121;24342;2.118;269.601197719574
122;24343;1.8734;271.719197750092
123;24344;2.0278;273.592597723007
124;24345;13.7317;275.620397806168
125;24346;1.9384;289.35209774971
126;24347;2.3714;291.290497779846
127;24348;2.104;293.661897659302
128;24349;2.4363;295.765897750854
129;24350;1.9463;298.202197790146
130;24351;2.3663;300.148497819901
131;24352;1.9809;302.514797925949
132;24353;2.0671;304.495697975159
133;24354;2.026;306.562798023224
134;24355;2.1644;308.588798046112
135;24356;1.842;310.75319814682
136;24357;1.7524;312.595198154449
137;24358;1.7841;314.347598195076
138;24359;2.742;316.131698131561
139;24360;1.8993;318.873698234558
140;24361;1.7605;320.772998213768
141;24362;5.058;322.533498167992
142;24363;5.0271;327.59149825573
143;24364;5.7191;332.618598341942
144;24365;5.414;338.337698340416
145;24366;15.2833;343.751698374748
146;24367;2.3308;359.034998774529
147;24368;2.1821;361.365798830986
148;24369;2.305;363.547898888588
149;24370;2.5505;365.852898955345
150;24371;2.8689;368.403398871422
151;24372;1.9424;371.272298932076
152;24373;2.1849;373.214698910713
153;24374;2.1487;375.399598956108
154;24375;2.4177;377.548298954964
155;24376;2.1264;379.965999007225
156;24377;1.8466;382.092399001122
157;24378;2.0803;383.938998937607
158;24379;2.0066;386.019299030304
159;24380;1.8669;388.025898933411
160;24381;1.9;389.892798900604
161;24382;2.4894;391.792798876762
162;24383;2.0979;394.282198786736
163;24384;2.426;396.380098700523
164;24385;2.1015;398.80609858036
165;24386;2.0504;400.907598614693
166;24387;1.8963;402.957998633385
167;24388;1.8961;404.854298591614
168;24389;2.1172;406.750398635864
169;24390;2.0278;408.86759853363
170;24391;2.0467;410.895398616791
171;24392;1.8654;412.942098617554
172;24393;2.0011;414.807498574257
173;24394;3.1422;416.808598637581
174;24395;1.9093;419.950798630714
175;24396;1.9436;421.860098600388
176;24397;1.9545;423.803698539734
177;24398;13.2607;425.75819849968
178;24399;2.6075;439.01889872551
179;24400;2.1642;441.626398801804
180;24401;2.9433;443.790598869324
181;24402;1.8545;446.733898878098
182;24403;2.0284;448.588398814201
183;24404;2.5506;450.616798758507
184;24405;1.9264;453.167398810387
185;24406;1.8624;455.093798756599
186;24407;3.0323;456.956198692322
187;24408;3.1448;459.988498687744
188;24409;2.9038;463.133298635483
189;24410;2.7944;466.037098646164
190;24411;2.1341;468.831498622894
191;24412;2.0494;470.965598583221
192;24413;2.0017;473.014998674393
193;24414;2.824;475.016698598862
194;24415;2.4014;477.840698480606
195;24416;1.8308;480.24209856987
196;24417;2.1778;482.072898507118
197;24418;2.8512;484.250698447227
198;24419;2.1222;487.101898550987
199;24420;1.8646;489.224098563194
200;24421;2.8216;491.088698506355
201;24422;2.2015;493.910298466682
202;24423;2.3782;496.111798405647
203;24424;2.1413;498.489998459816
204;24425;2.8949;500.631298422813
205;24426;2.0345;503.526198506355
206;24427;1.9505;505.560698390007
207;24428;2.6327;507.511198401451
208;24429;2.3389;510.143898367882
209;24430;2.0155;512.482798457146
210;24431;2.9184;514.49829852581
211;24432;2.7937;517.41669857502
212;24433;2.183;520.210398554802
213;24434;2.556;522.39339864254
214;24435;2.2426;524.949398636818
215;24436;1.8997;527.19199860096
216;24437;1.8827;529.091698646545
217;24438;2.7901;530.974398612976
218;24439;2.2974;533.764498710632
219;24440;2.4483;536.061898708344
220;24441;1.912;538.51019859314
221;24442;2.2118;540.422198534012
222;24443;1.9763;542.633998632431
223;24444;1.9877;544.610298633575
224;24445;2.4012;546.59799861908
225;24446;2.5762;548.999198675156
226;24447;2.1727;551.575398683548
227;24448;1.9396;553.748098611832
228;24449;3.1837;555.687698602676
229;24450;2.1048;558.871398687363
230;24451;1.9389;560.976198673248
231;24452;3.0631;562.915098667145
232;24453;2.3562;565.978198766708
233;24454;2.1175;568.33439874649
234;24455;2.5359;570.451898813248
235;24456;2.1757;572.987798690796
236;24457;2.2103;575.16349864006
237;24458;14.3268;577.37379860878
238;24459;3.0466;591.700598955154
239;24460;7.1471;594.747199058533
240;24461;4.0931;601.894299030304
241;24462;2.7614;605.987399101257
242;24463;2.7979;608.748799085617
243;24464;2.205;611.546699047089
244;24465;1.9354;613.751698970795
245;24466;2.4302;615.68709897995
246;24467;2.0646;618.117299079895
247;24468;1.8601;620.18189907074
248;24469;1.8378;622.041999101639
249;24470;2.0831;623.879799127579
250;24471;2.1536;625.962899208069
251;24472;1.9092;628.116499185562
252;24473;1.9658;630.025699138641
253;24474;1.9981;631.991499185562
254;24475;2.0532;633.989599227905
255;24476;2.2947;636.04279923439
256;24477;1.7613;638.337499141693
257;24478;2.0444;640.098799109459
258;24479;2.0903;642.143199086189
259;24480;1.8535;644.23349916935
260;24481;1.782;646.086999177933
261;24482;1.9375;647.868999123573
262;24483;2.1393;649.806499123573
263;24484;1.9961;651.945799231529
264;24485;1.8652;653.941899180412
265;24486;2.5709;655.807099223137
266;24487;2.1393;658.377999186516
267;24488;1.9806;660.517299294472
268;24489;1.8356;662.4978992939
269;24490;1.8131;664.333499312401
270;24491;2.3299;666.146599292755
271;24492;1.9969;668.476499319077
272;24493;1.8173;670.473399281502
273;24494;1.8403;672.290699243546
274;24495;2.0117;674.130999207497
275;24496;2.5584;676.142699122429
276;24497;1.8376;678.701099038124
277;24498;1.8402;680.538699030876
278;24499;1.9852;682.378898978233
279;24500;2.0797;684.364099025726
280;24501;2.037;686.44379901886
281;24502;1.8035;688.480798959732
282;24503;1.9059;690.28429889679
283;24504;2.1738;692.190198898315
284;24505;1.9252;694.363998889923
285;24506;2.1873;696.289198875427
286;24507;1.9181;698.476498842239
287;24508;2.1365;700.394598841667
288;24509;2.04;702.531098723412
289;24510;1.9514;704.571098685265
290;24511;1.8521;706.522498726845
291;24512;2.0392;708.374598741531
292;24513;1.9018;710.413798809052
293;24514;1.7718;712.315598845482
294;24515;1.7728;714.087398886681
295;24516;2.5586;715.8601988554
296;24517;2.26;718.418798804283
297;24518;1.9572;720.678798794746
298;24519;1.834;722.6359988451
299;24520;2.0599;724.469998836517
300;24521;2.1358;726.529898881912
301;24522;14.0356;728.665698766708
302;24523;2.8453;742.701298475266
303;24524;1.9844;745.546598434448
304;24525;3.0833;747.530998468399
305;24526;3.7377;750.614298343658
306;24527;3.3522;754.351998329163
307;24528;2.5446;757.704198360443
308;24529;2.1013;760.248798370361
309;24530;2.956;762.350098371506
310;24531;2.2346;765.306098461151
311;24532;1.9337;767.54069852829
312;24533;2.0659;769.474398493767
313;24534;2.4721;771.540298581123
314;24535;2.9466;774.012398600578
315;24536;2.3845;776.958998560905
316;24537;2.2112;779.343498587608
317;24538;1.9445;781.554698586464
318;24539;2.0524;783.499198555946
319;24540;2.1211;785.551598668098
320;24541;2.4701;787.672698616982
321;24542;1.9013;790.142798542976
322;24543;2.0838;792.044098496437
323;24544;2.1136;794.127898573875
324;24545;3.13;796.241498589516
325;24546;2.0137;799.371498465538
326;24547;2.0316;801.38519847393
327;24548;2.3965;803.416798472404
328;24549;1.8416;805.813298583031
329;24550;2.0769;807.654898524284
330;24551;2.1062;809.731798529625
331;24552;2.555;811.837998509407
332;24553;1.83;814.392998576164
333;24554;2.7989;816.22299861908
334;24555;2.4935;819.021898508072
335;24556;1.8907;821.51539850235
336;24557;1.9041;823.406098484993
337;24558;2.2528;825.310198426247
338;24559;2.6762;827.56299841404
339;24560;1.8715;830.239198327065
340;24561;1.9491;832.110698342323
341;24562;2.1461;834.059798359871
342;24563;2.2864;836.205898404121
343;24564;1.8212;838.492298483849
344;24565;1.8413;840.313498497009
345;24566;2.8909;842.15479850769
346;24567;1.9567;845.045698404312
347;24568;1.8154;847.002398371696
348;24569;1.9679;848.817798376083
349;24570;2.1322;850.785698413849
350;24571;1.8657;852.917898416519
351;24572;1.7544;854.783598423004
352;24573;2.5366;856.537998437881
353;24574;2.0824;859.074598312378
354;24575;1.9456;861.15699839592
355;24576;1.9089;863.102598428726
356;24577;2.0063;865.011498451233
357;24578;2.0353;867.017798423767
358;24579;1.8978;869.05309844017
359;24580;1.827;870.95089840889
360;24581;2.1416;872.777898430824
361;24582;2.6116;874.919498324394
362;24583;2.5058;877.531098246574
363;24584;12.9985;880.036898255348
364;24585;2.241;893.035398125648
365;24586;1.8283;895.276398062706
